timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1708436150.0828147,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.0828147,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436150.09179,,,,,,,,,,,,,,,96.0
1708436150.4775488,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.4775488,,,,,,,,0.5740000000000001,-0.7941,-0.188,0.067,39.27,-64.57000000000001,-293.71,
1708436150.4906707,,,,,,,,,,,,,,,-0.04695
1708436150.728461,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.728461,,,,,,,,0.5513,-0.8119000000000001,-0.18760000000000002,0.04,40.99,-64.1,-293.87,
1708436150.7415795,,,,,,,,,,,,,,,-0.099102
1708436150.8023772,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.8023772,,,,,,,,0.5305,-0.8204,-0.2124,0.014400000000000001,40.15,-61.45,-294.94,
1708436150.8153849,,,,,,,,,,,,,,,-0.02898
1708436150.8426957,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.8426957,,,,,,,,0.512,-0.8101,-0.2833,-0.0329,36.59,-61.52,-293.86,
1708436150.8588533,,,,,,,,,,,,,,,-0.03611
1708436150.9072042,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.9072042,,,,,,,,0.526,-0.7955,-0.2998,-0.018600000000000002,32.08,-61.97,-292.83,
1708436150.9228115,,,,,,,,,,,,,,,0.15396
1708436150.9672005,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436150.9672005,,,,,,,,0.5634,-0.7995,-0.20040000000000002,0.055,30.05,-63.71,-292.08,
1708436150.9801643,,,,,,,,,,,,,,,0.07697
1708436151.0104036,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.0104036,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.020345,,,,,,,,,,,,,,,0.03198
1708436151.0442219,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.0442219,,,,,,,,0.5940000000000001,-0.7862,-0.129,0.1105,31.220000000000002,-64.23,-289.98,
1708436151.0571914,,,,,,,,,,,,,,,0.011107
1708436151.076334,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.076334,,,,,,,,0.5929,-0.7884,-0.1263,0.10400000000000001,32.01,-64.05,-289.14,
1708436151.0902195,,,,,,,,,,,,,,,0.142108
1708436151.1108923,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.1108923,,,,,,,,0.5899,-0.7929,-0.1222,0.0907,35.31,-62.77,-289.6,
1708436151.1238925,,,,,,,,,,,,,,,0.26298
1708436151.1458266,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.1458266,,,,,,,,0.5884,-0.7939,-0.1194,0.0959,35.65,-62.08,-290.29,
1708436151.159493,,,,,,,,,,,,,,,0.196103
1708436151.177103,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.177103,,,,,,,,0.5896,-0.7914,-0.12150000000000001,0.1058,35.050000000000004,-61.34,-289.58,
1708436151.190059,,,,,,,,,,,,,,,0.225107
1708436151.2096128,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.2096128,,,,,,,,0.5906,-0.7877000000000001,-0.14400000000000002,0.09870000000000001,34.92,-58.88,-288.78000000000003,
1708436151.2232838,,,,,,,,,,,,,,,0.312106
1708436151.2436864,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.2436864,,,,,,,,0.5871000000000001,-0.791,-0.1446,0.0926,36.09,-58.58,-288.78000000000003,
1708436151.258222,,,,,,,,,,,,,,,0.366106
1708436151.2769773,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.2769773,,,,,,,,0.5843,-0.7951,-0.1385,0.0838,38.300000000000004,-58.74,-288.47,
1708436151.2899675,,,,,,,,,,,,,,,0.409106
1708436151.3103526,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.3103526,,,,,,,,0.5818,-0.8006000000000001,-0.12300000000000001,0.0722,42.160000000000004,-59.04,-289.33,
1708436151.3232574,,,,,,,,,,,,,,,0.4441
1708436151.3432875,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.3432875,,,,,,,,0.5817,-0.8018000000000001,-0.11710000000000001,0.07050000000000001,43.24,-59.5,-289.54,
1708436151.356732,,,,,,,,,,,,,,,0.374106
1708436151.3767924,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.3767924,,,,,,,,0.5848,-0.8,-0.1096,0.0765,42.88,-59.7,-290.31,
1708436151.389848,,,,,,,,,,,,,,,0.416101
1708436151.4097574,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.4097574,,,,,,,,0.5949,-0.7924,-0.1056,0.08360000000000001,41.38,-58.910000000000004,-288.51,
1708436151.4238935,,,,,,,,,,,,,,,0.368107
1708436151.4423344,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.4423344,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.4526298,,,,,,,,,,,,,,,0.4271
1708436151.476648,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.476648,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.4866443,,,,,,,,,,,,,,,0.3601
1708436151.5094054,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.5094054,,,,,,,,0.6179,-0.7765000000000001,-0.0745,0.0978,36.53,-56.45,-285.42,
1708436151.5228443,,,,,,,,,,,,,,,0.307103
1708436151.542647,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.542647,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.5532234,,,,,,,,,,,,,,,0.313102
1708436151.576403,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.576403,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.5867417,,,,,,,,,,,,,,,0.30299
1708436151.6100533,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.6100533,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.6194613,,,,,,,,,,,,,,,0.24496
1708436151.6428497,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.6428497,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.652955,,,,,,,,,,,,,,,0.14999
1708436151.6765404,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.6765404,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.6863256,,,,,,,,,,,,,,,0.122101
1708436151.7091773,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.7091773,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.7201464,,,,,,,,,,,,,,,0.133104
1708436151.7437046,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.7437046,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.7532403,,,,,,,,,,,,,,,0.190105
1708436151.7766542,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.7766542,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.7866776,,,,,,,,,,,,,,,0.252106
1708436151.8095589,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.8095589,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.8196967,,,,,,,,,,,,,,,0.318108
1708436151.8426783,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.8426783,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.853244,,,,,,,,,,,,,,,0.404101
1708436151.8764188,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.8764188,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.8864887,,,,,,,,,,,,,,,0.358105
1708436151.9111912,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.9111912,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.9211667,,,,,,,,,,,,,,,0.387102
1708436151.9420304,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708436151.9420304,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.95243,,,,,,,,,,,,,,,0.361104
1708436151.9754977,0.1109,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.5,-107.63,,,,,,,,
1708436151.9754977,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436151.9893038,,,,,,,,,,,,,,,0.37297
1708436152.024078,0.1109,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.024078,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.0390306,,,,,,,,,,,,,,,0.26898
1708436152.0622034,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.0622034,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.0769024,,,,,,,,,,,,,,,0.20194
1708436152.1115446,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.62,-46.51,-107.62,,,,,,,,
1708436152.1115446,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.1254003,,,,,,,,,,,,,,,0.082104
1708436152.1457942,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.1457942,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.160016,,,,,,,,,,,,,,,0.1501
1708436152.1785476,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.1785476,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.1931188,,,,,,,,,,,,,,,0.1391
1708436152.2110724,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.62,-46.51,-107.62,,,,,,,,
1708436152.2110724,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.2240357,,,,,,,,,,,,,,,0.130101
1708436152.2411845,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.2411845,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.2534063,,,,,,,,,,,,,,,0.13994
1708436152.2757301,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.2757301,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.2892694,,,,,,,,,,,,,,,0.033108
1708436152.3244336,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.3244336,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.336506,,,,,,,,,,,,,,,0.175101
1708436152.3587422,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.3587422,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.3721318,,,,,,,,,,,,,,,0.175107
1708436152.3919528,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.3919528,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.4049923,,,,,,,,,,,,,,,0.2731
1708436152.4261284,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.62,-46.51,-107.62,,,,,,,,
1708436152.4261284,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.439239,,,,,,,,,,,,,,,0.23796
1708436152.4713972,0.1109,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.4713972,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.4882977,,,,,,,,,,,,,,,0.14494
1708436152.518233,0.11080000000000001,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.62,,,,,,,,
1708436152.518233,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.532164,,,,,,,,,,,,,,,0.0361
1708436152.5594623,0.1109,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
1708436152.5594623,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436152.5729165,,,,,,,,,,,,,,,0.04897
1708436152.592211,0.1109,-0.012700000000000001,-0.7042,-0.7011000000000001,-21.63,-46.51,-107.63,,,,,,,,
