timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704802583.1541994,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802583.1541994,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802583.1653595,,,,,,,,,,,,,,,0.102101
1704802583.21213,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802583.21213,,,,,,,,0.3247,-0.7472000000000001,0.5797,-0.0038,127.36,-156.07,-157.33,
1704802583.2253401,,,,,,,,,,,,,,,0.11796
1704802583.2420948,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802583.2420948,,,,,,,,0.32230000000000003,-0.7467,0.5817,-0.0025,127.39,-156.27,-157.85,
1704802583.2553985,,,,,,,,,,,,,,,0.0481
1704802583.275335,0.1051,0.5712,-0.5637,0.5871000000000001,26.68,-9.74,-127.36,,,,,,,,
1704802583.275335,,,,,,,,0.3226,-0.7467,0.5815,-0.0035,127.82000000000001,-156.16,-157.95000000000002,
1704802583.2944438,,,,,,,,,,,,,,,0.05799
1704802583.3083096,0.1051,0.5712,-0.5637,0.5871000000000001,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802583.3083096,,,,,,,,0.3231,-0.7464000000000001,0.5817,-0.0044,128.4,-155.96,-158.02,
1704802583.3273659,,,,,,,,,,,,,,,0.04897
1704802583.3413393,0.1052,0.5712,-0.5637,0.5872,26.68,-9.74,-127.37,,,,,,,,
1704802583.3413393,,,,,,,,0.3244,-0.7451,0.5827,-0.0063,129.47,-155.72,-158.24,
1704802583.3593466,,,,,,,,,,,,,,,0.00996
1704802583.3745303,0.1052,0.5712,-0.5636,0.5872,26.69,-9.75,-127.34,,,,,,,,
1704802583.3745303,,,,,,,,0.32330000000000003,-0.7452000000000001,0.5830000000000001,-0.0056,129.46,-155.73,-158.39000000000001,
1704802583.3941984,,,,,,,,,,,,,,,-0.03995
1704802583.4087756,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802583.4087756,,,,,,,,0.3224,-0.7453000000000001,0.5835,-0.0057,129.38,-155.94,-158.6,
